,Unnamed: 0,id_name,is_potentially_hazardous_asteroid,estimated_diameter.meters.estimated_diameter_min,estimated_diameter.meters.estimated_diameter_max,close_approach_date,epoch_date_close_approach,orbiting_body,relative_velocity.kilometers_per_second,relative_velocity.kilometers_per_hour,orbit_class_description
86,95,3797900-(2018 BJ5),False,127.2198785394,284.4722965033,1995-01-18 00:00:00.000000,1970-01-01 00:13:10.406040,earth,11.9652284017,43074.8222459735,  Near-Earth-asteroid-orbits-similar-to-that-of-2062-Aten  
87,96,3704767-(2015 BE92),False,6.3760978988,14.2573883328,1995-01-18 00:00:00.000000,1970-01-01 00:13:10.404840,earth,16.0531518159,57791.3465371435, Near-Earth-asteroid-orbits-similar-to-that-of-1221-Amor  
88,97,3797753-(2018 BV1),False,36.6906137531,82.0427064882,1995-01-18 00:00:00.000000,1970-01-01 00:13:10.388280,earth,15.980210136,57528.7564894243, An-asteroid-orbit-contained-entirely-within-the-orbit-of-the-Eart  
89,98,3836878-(2018 XP3),False,69.9125232246,156.3291544087,1995-01-18 00:00:00.000000,1970-01-01 00:13:10.420620,earth,8.8286222565,31783.0401233568, An-asteroid-orbit-contained-entirely-within-the-orbit-of-the-Eart  
90,99,3748182-(2016 FJ3),False,80.2703167283,179.4898847799,1995-01-18 00:00:00.000000,1970-01-01 00:13:10.425180,earth,13.299028136,47876.5012897044, An-asteroid-orbit-contained-entirely-within-the-orbit-of-the-Eart  
91,100,2443103-443103 (2013 WT67),True,667.6594134952,1492.931834393,1995-01-19 00:00:00.000000,1970-01-01 00:13:10.552500,earth,13.6305303871,49069.909393474,  Near-Earth-asteroid-orbits-which-cross-the-Earth’s-orbit-similar-to-that-of-1862-Apollo 
92,101,3283218-(2005 MF5),False,121.4940407996,271.6689340891,1995-01-19 00:00:00.000000,1970-01-01 00:13:10.533360,earth,26.2349697378,94445.8910559763,  Near-Earth-asteroid-orbits-which-cross-the-Earth’s-orbit-similar-to-that-of-1862-Apollo 
93,102,3625335-(2013 BC70),False,40.2304579834,89.9580388169,1995-01-16 00:00:00.000000,1970-01-01 00:13:10.266780,earth,18.6159784305,67017.5223496646, Near-Earth-asteroid-orbits-similar-to-that-of-1221-Amor  
94,104,2002340-2340 Hathor (1976 UA),True,242.4124811008,542.0507863358,1995-01-16 00:00:00.000000,1970-01-01 00:13:10.238100,earth,15.9597865749,57455.2316697415,  Near-Earth-asteroid-orbits-similar-to-that-of-2062-Aten  
95,106,54016993-(2020 JG1),False,16.8249962697,37.6218353801,1995-01-16 00:00:00.000000,1970-01-01 00:13:10.290360,earth,9.1421510542,32911.7437951207, An-asteroid-orbit-contained-entirely-within-the-orbit-of-the-Eart  
